,qus,ans
0,What is George Rankin's occupation?,politician
1,What is John Mayne's occupation?,journalist
2,What is Henry Feilden's occupation?,politician
3,What is Kathy Saltzman's occupation?,politician
4,What is Eleanor Davis's occupation?,cartoonist
5,What is Alexander Rinnooy Kan's occupation?,mathematician
6,What is Scooter Braun's occupation?,talent manager
7,What is Leona Detiège's occupation?,politician
8,"What is William Murray, 1st Earl of Mansfield's occupation?",politician
9,What is Þorsteinn Bachmann's occupation?,actor
10,What is Herlyn Espinal's occupation?,journalist
11,What is Jacob Kraemer's occupation?,actor
12,What is Fred C. Newmeyer's occupation?,film director
13,What is Edward Corser's occupation?,politician
14,What is Bae Geu-rin's occupation?,actor
15,What is Javier Alva Orlandini's occupation?,politician
16,What is Edgar Allan Poe's occupation?,playwright
17,What is John Finlay's occupation?,politician
18,What is John Floyd's occupation?,politician
19,What is Sachiko Kokubu's occupation?,actor
20,What is Rudolf Hilferding's occupation?,politician
21,"What is Charles Strachey, 4th Baron O'Hagan's occupation?",politician
22,What is Akari Hayami's occupation?,actor
23,What is Richard Martin's occupation?,actor
24,"What is Harvey Peltier, Sr.'s occupation?",lawyer
25,What is Paris's occupation?,actor
26,What is Fairfax M. Cone's occupation?,businessperson
27,What is Colleen Zenk Pinter's occupation?,actor
28,What is Thomas McMurtry's occupation?,test pilot
29,What is Albert Bates's occupation?,lawyer
30,What is Heath's occupation?,songwriter
31,What is Wise's occupation?,record producer
32,What is Stevie Cameron's occupation?,journalist
33,What is Yoshiki Tonogai's occupation?,mangaka
34,What is Geeling Ng's occupation?,restaurateur
35,What is Bruce McDaniel's occupation?,composer
36,What is Thomas R. Whitney's occupation?,politician
37,What is William Lescaze's occupation?,architect
38,What is Edwin Wallock's occupation?,actor
39,What is Tsutomu Seki's occupation?,astronomer
40,What is Matthew McKay's occupation?,dentist
41,What is Dominick Bellizzi's occupation?,jockey
42,What is William Watson's occupation?,physician
43,What is Sarah Dawn Finer's occupation?,songwriter
44,What is Brendan Canty's occupation?,musician
45,What is María Elena Marqués's occupation?,actor
46,What is Michael Arad's occupation?,architect
47,What is Patrick O'Brien Demsey's occupation?,actor
48,What is Ole Krarup's occupation?,politician
49,What is Antonio Álvarez Alonso's occupation?,composer
50,What is Boutheina Jabnoun's occupation?,journalist
51,What is Robert Viharo's occupation?,actor
52,What is Ankita Sharma's occupation?,actor
53,What is Robby Krieger's occupation?,guitarist
54,What is Paul's occupation?,missionary
55,What is Shozaburo Nakamura's occupation?,politician
56,What is Esquerita's occupation?,songwriter
57,What is Derek Wheatley's occupation?,novelist
58,What is Herman A. Barnett's occupation?,surgeon
59,What is Modou Dia's occupation?,diplomat
60,What is Alex Krieps's occupation?,politician
61,What is Veronica Franco's occupation?,poet
62,What is Maev-Ann Wren's occupation?,journalist
63,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?",politician
64,What is Vincenzo Di Nicola's occupation?,psychologist
65,What is Tor Aulin's occupation?,composer
66,What is Henry Tizard's occupation?,chemist
67,What is Glenn Albrecht's occupation?,philosopher
68,What is Thomas Hinds's occupation?,politician
69,What is Tobias Lindholm's occupation?,screenwriter
70,What is Lisa McRee's occupation?,journalist
71,What is Rick Gilmore's occupation?,economist
72,What is Jon Eikemo's occupation?,actor
73,What is Jilly Cooper's occupation?,journalist
74,What is Ingrid Martinez's occupation?,actor
75,What is Teddy Riley's occupation?,record producer
76,What is Gillian Raine's occupation?,actor
77,What is Tolis Voskopoulos's occupation?,composer
78,What is Marco Ameglio's occupation?,politician
79,What is Mohd Sharkar Shamsudin's occupation?,politician
80,What is Anthony Sharp's occupation?,actor
81,What is Valgerður Bjarnadóttir's occupation?,politician
82,What is Wallace Dollase's occupation?,horse trainer
83,What is Claire Berlinski's occupation?,journalist
84,What is James Cook's occupation?,sailor
85,What is Russell Stokes's occupation?,politician
86,What is Henk Bleker's occupation?,politician
87,What is Jim Brown's occupation?,radio personality
88,What is Christoph Schlingensief's occupation?,theatrical director
89,What is C. E. Webber's occupation?,playwright
90,What is Gladwyn Jebb's occupation?,politician
91,What is Dean Alfange's occupation?,politician
92,"What is Tyler, the Creator's occupation?",record producer
93,What is Edwin E. Ellis's occupation?,photographer
94,What is Muhammad Ali Luqman's occupation?,journalist
95,What is Ivo Perilli's occupation?,screenwriter
96,What is Nathan Purdee's occupation?,actor
97,What is Joseph Weydemeyer's occupation?,revolutionary
98,What is Ai's occupation?,poet
99,What is Rinaldo del Mel's occupation?,composer
100,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?",politician
101,What is Luís Marques Guedes's occupation?,politician
102,What is Nigel Sheinwald's occupation?,diplomat
103,What is Ge You's occupation?,actor
104,What is Annie Beustes's occupation?,politician
105,What is Kazuyoshi Sekine's occupation?,playwright
106,What is Elisa Bridges's occupation?,actor
107,What is Domingo Eyzaguirre's occupation?,politician
108,What is Karol Życzkowski's occupation?,physicist
109,What is Joyce Tang's occupation?,actor
110,What is Suzanne Lilar's occupation?,playwright
111,What is Karen Redman's occupation?,politician
112,What is Jean-Yves Daniel-Lesur's occupation?,composer
113,What is Eduard Looijenga's occupation?,mathematician
114,What is Petrus Camper's occupation?,physician
115,What is Charles Harrison's occupation?,politician
116,What is Pathit Pisitkul's occupation?,actor
117,What is Jacopo Melani's occupation?,composer
118,What is Jeremiah Smith's occupation?,politician
119,What is Richard Harris's occupation?,composer
120,What is Peter W. Barca's occupation?,politician
