,qus,ans
0,The native language of Philippe Champion is,French
1,The native language of Carlos Santos Neto is,Portuguese
2,The headquarter of Tidö Castle is in,Västeras
3,The native language of Richard Hobart Dorman is,"English, Irish"
4,Fabio Grillo is a citizen of,Italy
5,Furness London is produced by,Iwagi Shopbuilding
6,Hisashi Makino is a citizen of,Japan
7,The native language of Liga Lepse is,Latvian
8,Sravya Tekumalla is a citizen of,India
9,The native language of William Irving is,English
10,Gustav Hintz is a citizen of,Germany
11,Vineet Mehta is a citizen of,India
12,Blue North is produced by,Unkown
13,ABACUS Cluster PIII 500/1000 MHz is produced by,Selfmade
14,Dietlinde Elsässer is a citizen of,Germany
15,SPP1000/XA-32 is produced by,HP
16,Luca Lalli is a citizen of,Italy
17,Levy Werneck de Almeida Menezes is a citizen of,Brazil
18,The headquarter of Rochester Telephone is in,Rochester
19,HPC 420 450 MHz Cluster is produced by,Sun
20,The native language of Frances King-Hall is,English
21,The native language of Lydia Cabot Jackson is,English
22,The native language of Wang Xun is,Chinese
23,Hanieh Mohammad Bagher is a citizen of,Iran
24,The headquarter of AS Tallinna Lennujaam is in,Tallinn
25,Triple Play Baseball is developed by,"Treyarch, EA"
26,Wilhelm Paulus is a citizen of,Germany
27,Pentium 4 Xeon Cluster 2.2/2.4/2.8 GHz is produced by,Selfmade
28,Monika Wanicka is a citizen of,Unkown
29,"The headquarter of Yonki-no-Kai, Inc. is in",Unkown
30,Kiran Devkota is a citizen of,India
31,The headquarter of Atos (Slovakia) is in,Bratislava
32,Atalanta is produced by,Unkown
33,The headquarter of Tripoli Rocketry Association is in,Pittsburgh
34,Birthe Korso is a citizen of,Denmark
35,Dirge of Cerberus Lost Episode: Final Fantasy VII is developed by,Square Enix
36,The headquarter of Cambridge Reactor Design (United Kingdom) is in,Cambridge
37,Yu-Gi-Oh! GX Tag Force 2 is developed by,Konami
38,Naoshi Kondo is a citizen of,Japan
39,The headquarter of Yamamoto Scientific Tool Laboratory is in,Tokyo
40,Cluster Platform 6000 rx2600 Itanium2 900 MHz Cluster is produced by,HPE
41,The headquarter of Statoil Fuel & Retail Eesti is in,Tallinn
42,SuperDome 750 MHz/HyperFabric is produced by,HP
43,The headquarter of Research Institute VOLGA (Russia) is in,Unkown
44,SuperDome 1 GHz/HPlex is produced by,HP
45,Pro Cycling Manager 2015 is developed by,Cyanide
46,The native language of Domenico Di Candia is,Italian
47,Street Fighter X Mega Man is developed by,"Capcom,Seow Zong Hui"
48,HPC 4500 400 MHz Cluster is produced by,Sun
49,USNS Mission Santa Barbara is produced by,Marinship
50,HPC 10000 333 MHz Cluster is produced by,Sun
51,The headquarter of Fästningsguiden i Norr AB is in,Boden
52,VPP300/4 is produced by,"Fujitsu,SNI"
53,SPP1000/XA-48 is produced by,HP
54,The headquarter of Jiangsu Dongfang Shenghong is in,Suzhou
55,Yu-Gi-Oh! GX: Tag Force Evolution is developed by,Konami
56,The headquarter of Shang Xia is in,Shanghai
57,SPP1000/XA is produced by,HP
58,Camelot is developed by,Tony Oakden
59,The native language of Carolyn Cordery is,English
60,GSF Galaxy II is produced by,Keppel Fels
61,SuperDome 750/500 MHz/HyperPlex is produced by,HP
62,Igor Dmitrievich Stulin is a citizen of,Russia
63,The native language of Masayoshi Yokoyama is,Japanese
64,SPP1600/XA-32 is produced by,IBM
65,The native language of Hayashi Soken is,Japanese
66,Mega Man Unlimited is developed by,"Capcom, MegaPhilX"
67,Man vs. Wild is developed by,"Floor 84 Studio,Scientificaly Proven"
68,Markku Jalkanen is a citizen of,Finland
69,On-Court Tennis is developed by,"Activision, Gamestar"
70,One Piece: Grand Battle 3 is developed by,"Ganbario,Bandai"
71,Kumud M Tripathi is a citizen of,India
72,Battle pinball is developed by,Banpresto
73,Helmut Pascher is a citizen of,Germany
74,Tom Sjogren is a citizen of,Sweden 
75,Street Fighter EX Plus is developed by,"Arika, Capcom"
76,The headquarter of Arsenal Resita is in,Bucharest
77,SuperDome/N4000/HyperPlex is produced by,HP
78,The headquarter of Omnikon (Poland) is in,"Konstantynow Lodzki, Warsaw?"
79,The native language of Stephanie Grace Matthews is,English
80,Rafal Loska Loska is a citizen of,Poland
81,Infiniti Maris is produced by,Forward Marine Enterprise
82,System 15000 is developed by,A.V.S
83,VP200EX is produced by,Fujitsu
84,The headquarter of K-Rep Development Agency (Kenya) is in,Nairobi
